,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_semi_xc_pix,cov_semi_yc_pix,cov_ampl_s,cov_relat_sur_diam,cov_offset,cov_xy_aspect_ratio,cov_relative_surround_volume,cov_orient_cen_rad
ampl_c,0.9999999997264477,1.1032371180900881e-09,1.233579870336206e-18,-2.6500327416901624e-11,1.2788962226598366e-11,1.999106483173679e-12,3.381106255016688e-11,9.83317873084683e-14,4.6306749235742214e-12,6.778575402731495e-14,-2.882809782952318e-11,6.767843163610944e-12,1.7497449971956298e-11
xoc_pix,6.408689784222281,0.5922847734121361,-2.6500327416901624e-11,0.3555418102863502,-0.025305817985455614,-0.06676445691110294,-0.024105058226830692,-0.006916639041553828,0.003059594798373509,-3.154075151450576e-06,-0.013907296376911023,-0.004919123893404135,-0.008465786879305836
yoc_pix,6.400650699612386,0.3005243637978888,1.2788962226598366e-11,-0.025305817985455614,0.09153536476634377,-0.0009499535177905748,-0.01312938912705717,-0.0017674980057193442,0.0016677086171944038,2.8025001633443593e-06,0.01160171212395974,9.410903011787227e-05,0.007186615614341297
semi_xc_pix,2.3652225224200634,0.37956698011324996,1.999106483173679e-12,-0.06676445691110294,-0.0009499535177905748,0.1460179990462422,0.024983529293785875,0.012074877977483722,-0.004702858644991395,-7.132858359465091e-06,0.07227509544002204,0.009619694425105867,0.0035507755087461805
semi_yc_pix,1.531267167970355,0.26474032812480824,3.381106255016688e-11,-0.024105058226830692,-0.01312938912705717,0.024983529293785875,0.07103456892124782,0.009745324920974248,-0.004534098688877276,1.7673771343983645e-05,-0.05386340039165962,0.006553012543052005,0.03376718617135345
ampl_s,0.6473982954714451,0.04429309225984625,9.83317873084683e-14,-0.006916639041553828,-0.0017674980057193442,0.012074877977483722,0.009745324920974248,0.0019883898871005928,-0.000912069438045823,1.3543420211228905e-06,-0.0016816092649124148,0.0013809474356833416,0.003924529124508179
relat_sur_diam,1.17539584647668,0.02423277975862753,4.6306749235742214e-12,0.003059594798373509,0.0016677086171944038,-0.004702858644991395,-0.004534098688877276,-0.000912069438045823,0.0005951631231386637,5.569029325206608e-07,0.0012277767857292066,-0.0003712092489175281,-0.0013425196102090494
offset,0.000934415636788958,0.000217422011877376,6.778575402731495e-14,-3.154075151450576e-06,2.8025001633443593e-06,-7.132858359465091e-06,1.7673771343983645e-05,1.3543420211228905e-06,5.569029325206608e-07,4.791114653595186e-08,-2.4471358514189856e-05,2.6446099542614655e-06,-3.1885939727385835e-06
xy_aspect_ratio,1.5793244932857156,0.31957792860969003,-2.882809782952318e-11,-0.013907296376911023,0.01160171212395974,0.07227509544002204,-0.05386340039165962,-0.0016816092649124148,0.0012277767857292066,-2.4471358514189856e-05,0.10351018829843932,-0.0003950192423386196,-0.0250782875439639
relative_surround_volume,0.8926735443494402,0.03657101643110853,6.767843163610944e-12,-0.004919123893404135,9.410903011787227e-05,0.009619694425105867,0.006553012543052005,0.0013809474356833416,-0.0003712092489175281,2.6446099542614655e-06,-0.0003950192423386196,0.0013555127460855509,0.0033132094518185883
orient_cen_rad,0.1773572361992781,0.5317040572550187,1.7497449971956298e-11,-0.008465786879305836,0.007186615614341297,0.0035507755087461805,0.03376718617135345,0.003924529124508179,-0.0013425196102090494,-3.1885939727385835e-06,-0.0250782875439639,0.0033132094518185883,0.2865295991568732
